
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KWGN-TV ]==--

---------------------------------------------------------------------------

Site location: 39.7328 North / 105.2361 West (39° 43' 57" N / 105° 14' 10" W)
Ground elevation: 2207.00 meters AMSL
Antenna height: 122.00 meters AGL / 2329.00 meters AMSL
Antenna height above average terrain: 305.24 meters

Average terrain at 246 degrees azimuth: 2414.66 meters AMSL
Average terrain at 247 degrees azimuth: 2406.99 meters AMSL
Average terrain at 248 degrees azimuth: 2399.37 meters AMSL
Average terrain at 249 degrees azimuth: 2393.71 meters AMSL
Average terrain at 250 degrees azimuth: 2384.27 meters AMSL
Average terrain at 251 degrees azimuth: 2369.16 meters AMSL
Average terrain at 252 degrees azimuth: 2360.81 meters AMSL
Average terrain at 253 degrees azimuth: 2354.99 meters AMSL
Average terrain at 254 degrees azimuth: 2349.81 meters AMSL
Average terrain at 255 degrees azimuth: 2344.62 meters AMSL
Average terrain at 256 degrees azimuth: 2332.13 meters AMSL
Average terrain at 257 degrees azimuth: 2326.46 meters AMSL
Average terrain at 258 degrees azimuth: 2321.08 meters AMSL
Average terrain at 259 degrees azimuth: 2303.22 meters AMSL
Average terrain at 260 degrees azimuth: 2293.91 meters AMSL
Average terrain at 261 degrees azimuth: 2284.19 meters AMSL
Average terrain at 262 degrees azimuth: 2280.35 meters AMSL
Average terrain at 263 degrees azimuth: 2276.37 meters AMSL
Average terrain at 264 degrees azimuth: 2265.70 meters AMSL
Average terrain at 265 degrees azimuth: 2271.70 meters AMSL
Average terrain at 266 degrees azimuth: 2272.87 meters AMSL
Average terrain at 267 degrees azimuth: 2276.77 meters AMSL
Average terrain at 268 degrees azimuth: 2276.08 meters AMSL
Average terrain at 269 degrees azimuth: 2272.25 meters AMSL
Average terrain at 270 degrees azimuth: 2256.33 meters AMSL
Average terrain at 271 degrees azimuth: 2216.50 meters AMSL
Average terrain at 272 degrees azimuth: 2188.72 meters AMSL
Average terrain at 273 degrees azimuth: 2181.23 meters AMSL
Average terrain at 274 degrees azimuth: 2160.50 meters AMSL
Average terrain at 275 degrees azimuth: 2154.53 meters AMSL
Average terrain at 276 degrees azimuth: 2163.67 meters AMSL
Average terrain at 277 degrees azimuth: 2178.97 meters AMSL
Average terrain at 278 degrees azimuth: 2197.43 meters AMSL
Average terrain at 279 degrees azimuth: 2209.03 meters AMSL
Average terrain at 280 degrees azimuth: 2210.49 meters AMSL
Average terrain at 281 degrees azimuth: 2215.92 meters AMSL
Average terrain at 282 degrees azimuth: 2226.97 meters AMSL
Average terrain at 283 degrees azimuth: 2234.64 meters AMSL
Average terrain at 284 degrees azimuth: 2245.89 meters AMSL
Average terrain at 285 degrees azimuth: 2263.65 meters AMSL
Average terrain at 286 degrees azimuth: 2284.16 meters AMSL
Average terrain at 287 degrees azimuth: 2293.75 meters AMSL
Average terrain at 288 degrees azimuth: 2303.58 meters AMSL
Average terrain at 289 degrees azimuth: 2312.28 meters AMSL
Average terrain at 290 degrees azimuth: 2319.74 meters AMSL
Average terrain at 291 degrees azimuth: 2321.28 meters AMSL
Average terrain at 292 degrees azimuth: 2328.17 meters AMSL
Average terrain at 293 degrees azimuth: 2341.41 meters AMSL
Average terrain at 294 degrees azimuth: 2356.53 meters AMSL
Average terrain at 295 degrees azimuth: 2375.55 meters AMSL
Average terrain at 296 degrees azimuth: 2405.90 meters AMSL
Average terrain at 297 degrees azimuth: 2431.02 meters AMSL
Average terrain at 298 degrees azimuth: 2439.67 meters AMSL
Average terrain at 299 degrees azimuth: 2432.48 meters AMSL
Average terrain at 300 degrees azimuth: 2426.43 meters AMSL
Average terrain at 301 degrees azimuth: 2422.71 meters AMSL
Average terrain at 302 degrees azimuth: 2404.84 meters AMSL
Average terrain at 303 degrees azimuth: 2378.17 meters AMSL
Average terrain at 304 degrees azimuth: 2362.36 meters AMSL
Average terrain at 305 degrees azimuth: 2361.99 meters AMSL
Average terrain at 306 degrees azimuth: 2378.32 meters AMSL
Average terrain at 307 degrees azimuth: 2397.96 meters AMSL
Average terrain at 308 degrees azimuth: 2414.26 meters AMSL
Average terrain at 309 degrees azimuth: 2425.62 meters AMSL
Average terrain at 310 degrees azimuth: 2437.36 meters AMSL
Average terrain at 311 degrees azimuth: 2444.14 meters AMSL
Average terrain at 312 degrees azimuth: 2452.34 meters AMSL
Average terrain at 313 degrees azimuth: 2456.33 meters AMSL
Average terrain at 314 degrees azimuth: 2443.07 meters AMSL
Average terrain at 315 degrees azimuth: 2426.08 meters AMSL
Average terrain at 316 degrees azimuth: 2408.96 meters AMSL
Average terrain at 317 degrees azimuth: 2389.46 meters AMSL
Average terrain at 318 degrees azimuth: 2372.56 meters AMSL
Average terrain at 319 degrees azimuth: 2371.05 meters AMSL
Average terrain at 320 degrees azimuth: 2370.25 meters AMSL
Average terrain at 321 degrees azimuth: 2358.58 meters AMSL
Average terrain at 322 degrees azimuth: 2357.68 meters AMSL
Average terrain at 323 degrees azimuth: 2329.53 meters AMSL
Average terrain at 324 degrees azimuth: 2303.94 meters AMSL
Average terrain at 325 degrees azimuth: 2288.13 meters AMSL
Average terrain at 326 degrees azimuth: 2287.49 meters AMSL
Average terrain at 327 degrees azimuth: 2292.26 meters AMSL
Average terrain at 328 degrees azimuth: 2291.84 meters AMSL
Average terrain at 329 degrees azimuth: 2283.37 meters AMSL
Average terrain at 330 degrees azimuth: 2259.39 meters AMSL
Average terrain at 331 degrees azimuth: 2255.61 meters AMSL
Average terrain at 332 degrees azimuth: 2260.03 meters AMSL
Average terrain at 333 degrees azimuth: 2246.56 meters AMSL
Average terrain at 334 degrees azimuth: 2232.76 meters AMSL
Average terrain at 335 degrees azimuth: 2217.10 meters AMSL
Average terrain at 336 degrees azimuth: 2196.59 meters AMSL
Average terrain at 337 degrees azimuth: 2178.44 meters AMSL
Average terrain at 338 degrees azimuth: 2166.37 meters AMSL
Average terrain at 339 degrees azimuth: 2166.66 meters AMSL
Average terrain at 340 degrees azimuth: 2166.08 meters AMSL
