
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KQCA ]==--
Average terrain at 197 degrees azimuth: 1.01 meters AMSL
Average terrain at 198 degrees azimuth: 1.00 meters AMSL
Average terrain at 199 degrees azimuth: 1.00 meters AMSL
Average terrain at 200 degrees azimuth: 1.00 meters AMSL
Average terrain at 201 degrees azimuth: 1.00 meters AMSL
Average terrain at 202 degrees azimuth: 1.00 meters AMSL
Average terrain at 203 degrees azimuth: 1.00 meters AMSL
Average terrain at 204 degrees azimuth: 1.01 meters AMSL
Average terrain at 205 degrees azimuth: 1.00 meters AMSL
Average terrain at 206 degrees azimuth: 1.00 meters AMSL
Average terrain at 207 degrees azimuth: 1.00 meters AMSL
Average terrain at 208 degrees azimuth: 1.00 meters AMSL
Average terrain at 209 degrees azimuth: 1.01 meters AMSL
Average terrain at 210 degrees azimuth: 1.02 meters AMSL
Average terrain at 211 degrees azimuth: 1.03 meters AMSL
Average terrain at 212 degrees azimuth: 1.04 meters AMSL
Average terrain at 213 degrees azimuth: 1.08 meters AMSL
Average terrain at 214 degrees azimuth: 1.08 meters AMSL
Average terrain at 215 degrees azimuth: 1.07 meters AMSL
Average terrain at 216 degrees azimuth: 1.06 meters AMSL
Average terrain at 217 degrees azimuth: 1.08 meters AMSL
Average terrain at 218 degrees azimuth: 1.03 meters AMSL
Average terrain at 219 degrees azimuth: 0.96 meters AMSL
Average terrain at 220 degrees azimuth: 0.99 meters AMSL
Average terrain at 221 degrees azimuth: 0.97 meters AMSL
Average terrain at 222 degrees azimuth: 0.97 meters AMSL
Average terrain at 223 degrees azimuth: 1.00 meters AMSL
Average terrain at 224 degrees azimuth: 0.98 meters AMSL
Average terrain at 225 degrees azimuth: 1.00 meters AMSL
Average terrain at 226 degrees azimuth: 1.00 meters AMSL
Average terrain at 227 degrees azimuth: 1.00 meters AMSL
Average terrain at 228 degrees azimuth: 0.99 meters AMSL
Average terrain at 229 degrees azimuth: 1.00 meters AMSL
Average terrain at 230 degrees azimuth: 0.99 meters AMSL
Average terrain at 231 degrees azimuth: 1.02 meters AMSL
Average terrain at 232 degrees azimuth: 1.00 meters AMSL
Average terrain at 233 degrees azimuth: 1.00 meters AMSL
Average terrain at 234 degrees azimuth: 1.00 meters AMSL
Average terrain at 235 degrees azimuth: 0.99 meters AMSL
Average terrain at 236 degrees azimuth: 0.99 meters AMSL
Average terrain at 237 degrees azimuth: 1.00 meters AMSL
Average terrain at 238 degrees azimuth: 0.99 meters AMSL
Average terrain at 239 degrees azimuth: 1.00 meters AMSL
Average terrain at 240 degrees azimuth: 1.01 meters AMSL
Average terrain at 241 degrees azimuth: 1.00 meters AMSL
Average terrain at 242 degrees azimuth: 1.01 meters AMSL
Average terrain at 243 degrees azimuth: 1.02 meters AMSL
Average terrain at 244 degrees azimuth: 1.00 meters AMSL
Average terrain at 245 degrees azimuth: 1.01 meters AMSL
Average terrain at 246 degrees azimuth: 1.00 meters AMSL
Average terrain at 247 degrees azimuth: 1.00 meters AMSL
Average terrain at 248 degrees azimuth: 1.05 meters AMSL
Average terrain at 249 degrees azimuth: 1.04 meters AMSL
